,tokens,Sentiment,No Stops,Unicode,Stemmed
525,"[u'And', u'it', u'was', u'way', u'to', u'expensive']",0,"[u'And', u'way', u'expensive']","[u'And', u'way', u'expensive']","[u'and', u'way', u'expens']"
526,"[u'Be', u'sure', u'to', u'order', u'dessert', u'even', u'if', u'you', u'need', u'to', u'pack', u'it', u'to', u'go', u'the', u'tiramisu', u'and', u'cannoli', u'are', u'both', u'to', u'die', u'for']",1,"[u'Be', u'sure', u'order', u'dessert', u'even', u'need', u'pack', u'go', u'tiramisu', u'cannoli', u'die']","[u'Be', u'sure', u'order', u'dessert', u'even', u'need', u'pack', u'go', u'tiramisu', u'cannoli', u'die']","[u'Be', u'sure', u'order', u'dessert', u'even', u'need', u'pack', u'go', u'tiramisu', u'cannoli', u'die']"
527,"[u'This', u'was', u'my', u'first', u'time', u'and', u'I', u'can', u't', u'wait', u'until', u'the', u'next']",1,"[u'This', u'first', u'time', u'I', u'wait', u'next']","[u'This', u'first', u'time', u'I', u'wait', u'next']","[u'thi', u'first', u'time', u'I', u'wait', u'next']"
528,"[u'The', u'bartender', u'was', u'also', u'nice']",1,"[u'The', u'bartender', u'also', u'nice']","[u'The', u'bartender', u'also', u'nice']","[u'the', u'bartend', u'also', u'nice']"
529,"[u'Everything', u'was', u'good', u'and', u'tasty']",1,"[u'Everything', u'good', u'tasty']","[u'Everything', u'good', u'tasty']","[u'everyth', u'good', u'tasti']"
530,"[u'This', u'place', u'is', u'two', u'thumbs', u'up', u'way', u'up']",1,"[u'This', u'place', u'two', u'thumbs', u'way']","[u'This', u'place', u'two', u'thumbs', u'way']","[u'thi', u'place', u'two', u'thumb', u'way']"
531,"[u'The', u'best', u'place', u'in', u'Vegas', u'for', u'breakfast', u'just', u'check', u'out', u'a', u'Sat', u'or', u'Sun']",1,"[u'The', u'best', u'place', u'Vegas', u'breakfast', u'check', u'Sat', u'Sun']","[u'The', u'best', u'place', u'Vegas', u'breakfast', u'check', u'Sat', u'Sun']","[u'the', u'best', u'place', u'vega', u'breakfast', u'check', u'sat', u'sun']"
532,"[u'If', u'you', u'love', u'authentic', u'Mexican', u'food', u'and', u'want', u'a', u'whole', u'bunch', u'of', u'interesting', u'yet', u'delicious', u'meats', u'to', u'choose', u'from', u'you', u'need', u'to', u'try', u'this', u'place']",1,"[u'If', u'love', u'authentic', u'Mexican', u'food', u'want', u'whole', u'bunch', u'interesting', u'yet', u'delicious', u'meats', u'choose', u'need', u'try', u'place']","[u'If', u'love', u'authentic', u'Mexican', u'food', u'want', u'whole', u'bunch', u'interesting', u'yet', u'delicious', u'meats', u'choose', u'need', u'try', u'place']","[u'If', u'love', u'authent', u'mexican', u'food', u'want', u'whole', u'bunch', u'interest', u'yet', u'delici', u'meat', u'choos', u'need', u'tri', u'place']"
533,"[u'Terrible', u'management']",0,"[u'Terrible', u'management']","[u'Terrible', u'management']","[u'terribl', u'manag']"
534,"[u'An', u'excellent', u'new', u'restaurant', u'by', u'an', u'experienced', u'Frenchman']",1,"[u'An', u'excellent', u'new', u'restaurant', u'experienced', u'Frenchman']","[u'An', u'excellent', u'new', u'restaurant', u'experienced', u'Frenchman']","[u'An', u'excel', u'new', u'restaur', u'experienc', u'frenchman']"
535,"[u'If', u'there', u'were', u'zero', u'stars', u'I', u'would', u'give', u'it', u'zero', u'stars']",0,"[u'If', u'zero', u'stars', u'I', u'would', u'give', u'zero', u'stars']","[u'If', u'zero', u'stars', u'I', u'would', u'give', u'zero', u'stars']","[u'If', u'zero', u'star', u'I', u'would', u'give', u'zero', u'star']"
536,"[u'Great', u'steak', u'great', u'sides', u'great', u'wine', u'amazing', u'desserts']",1,"[u'Great', u'steak', u'great', u'sides', u'great', u'wine', u'amazing', u'desserts']","[u'Great', u'steak', u'great', u'sides', u'great', u'wine', u'amazing', u'desserts']","[u'great', u'steak', u'great', u'side', u'great', u'wine', u'amaz', u'dessert']"
537,"[u'Worst', u'martini', u'ever']",0,"[u'Worst', u'martini', u'ever']","[u'Worst', u'martini', u'ever']","[u'worst', u'martini', u'ever']"
538,"[u'The', u'steak', u'and', u'the', u'shrimp', u'are', u'in', u'my', u'opinion', u'the', u'best', u'entrees', u'at', u'GC']",1,"[u'The', u'steak', u'shrimp', u'opinion', u'best', u'entrees', u'GC']","[u'The', u'steak', u'shrimp', u'opinion', u'best', u'entrees', u'GC']","[u'the', u'steak', u'shrimp', u'opinion', u'best', u'entre', u'GC']"
539,"[u'I', u'had', u'the', u'opportunity', u'today', u'to', u'sample', u'your', u'amazing', u'pizzas']",1,"[u'I', u'opportunity', u'today', u'sample', u'amazing', u'pizzas']","[u'I', u'opportunity', u'today', u'sample', u'amazing', u'pizzas']","[u'I', u'opportun', u'today', u'sampl', u'amaz', u'pizza']"
540,"[u'We', u'waited', u'for', u'thirty', u'minutes', u'to', u'be', u'seated', u'although', u'there', u'were', u'8', u'vacant', u'tables', u'and', u'we', u'were', u'the', u'only', u'folks', u'waiting']",0,"[u'We', u'waited', u'thirty', u'minutes', u'seated', u'although', u'8', u'vacant', u'tables', u'folks', u'waiting']","[u'We', u'waited', u'thirty', u'minutes', u'seated', u'although', u'8', u'vacant', u'tables', u'folks', u'waiting']","[u'We', u'wait', u'thirti', u'minut', u'seat', u'although', u'8', u'vacant', u'tabl', u'folk', u'wait']"
541,"[u'The', u'yellowtail', u'carpaccio', u'was', u'melt', u'in', u'your', u'mouth', u'fresh']",1,"[u'The', u'yellowtail', u'carpaccio', u'melt', u'mouth', u'fresh']","[u'The', u'yellowtail', u'carpaccio', u'melt', u'mouth', u'fresh']","[u'the', u'yellowtail', u'carpaccio', u'melt', u'mouth', u'fresh']"
542,"[u'I', u'won', u't', u'try', u'going', u'back', u'there', u'even', u'if', u'it', u's', u'empty']",0,"[u'I', u'try', u'going', u'back', u'even', u'empty']","[u'I', u'try', u'going', u'back', u'even', u'empty']","[u'I', u'tri', u'go', u'back', u'even', u'empti']"
543,"[u'No', u'I', u'm', u'going', u'to', u'eat', u'the', u'potato', u'that', u'I', u'found', u'some', u'strangers', u'hair', u'in', u'it']",0,"[u'No', u'I', u'going', u'eat', u'potato', u'I', u'found', u'strangers', u'hair']","[u'No', u'I', u'going', u'eat', u'potato', u'I', u'found', u'strangers', u'hair']","[u'No', u'I', u'go', u'eat', u'potato', u'I', u'found', u'stranger', u'hair']"
544,"[u'Just', u'spicy', u'enough', u'Perfect', u'actually']",1,"[u'Just', u'spicy', u'enough', u'Perfect', u'actually']","[u'Just', u'spicy', u'enough', u'Perfect', u'actually']","[u'just', u'spici', u'enough', u'perfect', u'actual']"
545,"[u'Last', u'night', u'was', u'my', u'second', u'time', u'dining', u'here', u'and', u'I', u'was', u'so', u'happy', u'I', u'decided', u'to', u'go', u'back']",1,"[u'Last', u'night', u'second', u'time', u'dining', u'I', u'happy', u'I', u'decided', u'go', u'back']","[u'Last', u'night', u'second', u'time', u'dining', u'I', u'happy', u'I', u'decided', u'go', u'back']","[u'last', u'night', u'second', u'time', u'dine', u'I', u'happi', u'I', u'decid', u'go', u'back']"
546,"[u'not', u'even', u'a', u'hello', u'we', u'will', u'be', u'right', u'with', u'you']",0,"[u'even', u'hello', u'right']","[u'even', u'hello', u'right']","[u'even', u'hello', u'right']"
547,"[u'The', u'desserts', u'were', u'a', u'bit', u'strange']",0,"[u'The', u'desserts', u'bit', u'strange']","[u'The', u'desserts', u'bit', u'strange']","[u'the', u'dessert', u'bit', u'strang']"
548,"[u'My', u'boyfriend', u'and', u'I', u'came', u'here', u'for', u'the', u'first', u'time', u'on', u'a', u'recent', u'trip', u'to', u'Vegas', u'and', u'could', u'not', u'have', u'been', u'more', u'pleased', u'with', u'the', u'quality', u'of', u'food', u'and', u'service']",1,"[u'My', u'boyfriend', u'I', u'came', u'first', u'time', u'recent', u'trip', u'Vegas', u'could', u'pleased', u'quality', u'food', u'service']","[u'My', u'boyfriend', u'I', u'came', u'first', u'time', u'recent', u'trip', u'Vegas', u'could', u'pleased', u'quality', u'food', u'service']","[u'My', u'boyfriend', u'I', u'came', u'first', u'time', u'recent', u'trip', u'vega', u'could', u'pleas', u'qualiti', u'food', u'servic']"
549,"[u'I', u'really', u'do', u'recommend', u'this', u'place', u'you', u'can', u'go', u'wrong', u'with', u'this', u'donut', u'place']",1,"[u'I', u'really', u'recommend', u'place', u'go', u'wrong', u'donut', u'place']","[u'I', u'really', u'recommend', u'place', u'go', u'wrong', u'donut', u'place']","[u'I', u'realli', u'recommend', u'place', u'go', u'wrong', u'donut', u'place']"
550,"[u'Nice', u'ambiance']",1,"[u'Nice', u'ambiance']","[u'Nice', u'ambiance']","[u'nice', u'ambianc']"
551,"[u'I', u'would', u'recommend', u'saving', u'room', u'for', u'this']",1,"[u'I', u'would', u'recommend', u'saving', u'room']","[u'I', u'would', u'recommend', u'saving', u'room']","[u'I', u'would', u'recommend', u'save', u'room']"
552,"[u'I', u'guess', u'maybe', u'we', u'went', u'on', u'an', u'off', u'night', u'but', u'it', u'was', u'disgraceful']",0,"[u'I', u'guess', u'maybe', u'went', u'night', u'disgraceful']","[u'I', u'guess', u'maybe', u'went', u'night', u'disgraceful']","[u'I', u'guess', u'mayb', u'went', u'night', u'disgrac']"
553,"[u'However', u'my', u'recent', u'experience', u'at', u'this', u'particular', u'location', u'was', u'not', u'so', u'good']",0,"[u'However', u'recent', u'experience', u'particular', u'location', u'good']","[u'However', u'recent', u'experience', u'particular', u'location', u'good']","[u'howev', u'recent', u'experi', u'particular', u'locat', u'good']"
554,"[u'I', u'know', u'this', u'is', u'not', u'like', u'the', u'other', u'restaurants', u'at', u'all', u'something', u'is', u'very', u'off', u'here']",0,"[u'I', u'know', u'like', u'restaurants', u'something']","[u'I', u'know', u'like', u'restaurants', u'something']","[u'I', u'know', u'like', u'restaur', u'someth']"
555,"[u'AVOID', u'THIS', u'ESTABLISHMENT']",0,"[u'AVOID', u'THIS', u'ESTABLISHMENT']","[u'AVOID', u'THIS', u'ESTABLISHMENT']","[u'avoid', u'thi', u'establish']"
556,"[u'I', u'think', u'this', u'restaurant', u'suffers', u'from', u'not', u'trying', u'hard', u'enough']",0,"[u'I', u'think', u'restaurant', u'suffers', u'trying', u'hard', u'enough']","[u'I', u'think', u'restaurant', u'suffers', u'trying', u'hard', u'enough']","[u'I', u'think', u'restaur', u'suffer', u'tri', u'hard', u'enough']"
557,"[u'All', u'of', u'the', u'tapas', u'dishes', u'were', u'delicious']",1,"[u'All', u'tapas', u'dishes', u'delicious']","[u'All', u'tapas', u'dishes', u'delicious']","[u'all', u'tapa', u'dish', u'delici']"
558,"[u'I', u'heart', u'this', u'place']",1,"[u'I', u'heart', u'place']","[u'I', u'heart', u'place']","[u'I', u'heart', u'place']"
559,"[u'My', u'salad', u'had', u'a', u'bland', u'vinegrette', u'on', u'the', u'baby', u'greens', u'and', u'hearts', u'of', u'Palm']",0,"[u'My', u'salad', u'bland', u'vinegrette', u'baby', u'greens', u'hearts', u'Palm']","[u'My', u'salad', u'bland', u'vinegrette', u'baby', u'greens', u'hearts', u'Palm']","[u'My', u'salad', u'bland', u'vinegrett', u'babi', u'green', u'heart', u'palm']"
560,"[u'After', u'two', u'I', u'felt', u'disgusting']",0,"[u'After', u'two', u'I', u'felt', u'disgusting']","[u'After', u'two', u'I', u'felt', u'disgusting']","[u'after', u'two', u'I', u'felt', u'disgust']"
561,"[u'A', u'good', u'time']",1,"[u'A', u'good', u'time']","[u'A', u'good', u'time']","[u'A', u'good', u'time']"
562,"[u'I', u'believe', u'that', u'this', u'place', u'is', u'a', u'great', u'stop', u'for', u'those', u'with', u'a', u'huge', u'belly', u'and', u'hankering', u'for', u'sushi']",1,"[u'I', u'believe', u'place', u'great', u'stop', u'huge', u'belly', u'hankering', u'sushi']","[u'I', u'believe', u'place', u'great', u'stop', u'huge', u'belly', u'hankering', u'sushi']","[u'I', u'believ', u'place', u'great', u'stop', u'huge', u'belli', u'hanker', u'sushi']"
563,"[u'Generous', u'portions', u'and', u'great', u'taste']",1,"[u'Generous', u'portions', u'great', u'taste']","[u'Generous', u'portions', u'great', u'taste']","[u'gener', u'portion', u'great', u'tast']"
564,"[u'I', u'will', u'never', u'go', u'back', u'to', u'this', u'place', u'and', u'will', u'never', u'ever', u'recommended', u'this', u'place', u'to', u'anyone']",0,"[u'I', u'never', u'go', u'back', u'place', u'never', u'ever', u'recommended', u'place', u'anyone']","[u'I', u'never', u'go', u'back', u'place', u'never', u'ever', u'recommended', u'place', u'anyone']","[u'I', u'never', u'go', u'back', u'place', u'never', u'ever', u'recommend', u'place', u'anyon']"
565,"[u'The', u'servers', u'went', u'back', u'and', u'forth', u'several', u'times', u'not', u'even', u'so', u'much', u'as', u'an', u'Are', u'you', u'being', u'helped']",0,"[u'The', u'servers', u'went', u'back', u'forth', u'several', u'times', u'even', u'much', u'Are', u'helped']","[u'The', u'servers', u'went', u'back', u'forth', u'several', u'times', u'even', u'much', u'Are', u'helped']","[u'the', u'server', u'went', u'back', u'forth', u'sever', u'time', u'even', u'much', u'are', u'help']"
566,"[u'Food', u'was', u'delicious']",1,"[u'Food', u'delicious']","[u'Food', u'delicious']","[u'food', u'delici']"
567,"[u'AN', u'HOUR', u'seriously']",0,"[u'AN', u'HOUR', u'seriously']","[u'AN', u'HOUR', u'seriously']","[u'AN', u'hour', u'serious']"
568,"[u'I', u'consider', u'this', u'theft']",0,"[u'I', u'consider', u'theft']","[u'I', u'consider', u'theft']","[u'I', u'consid', u'theft']"
569,"[u'Eew', u'This', u'location', u'needs', u'a', u'complete', u'overhaul']",0,"[u'Eew', u'This', u'location', u'needs', u'complete', u'overhaul']","[u'Eew', u'This', u'location', u'needs', u'complete', u'overhaul']","[u'eew', u'thi', u'locat', u'need', u'complet', u'overhaul']"
570,"[u'We', u'recently', u'witnessed', u'her', u'poor', u'quality', u'of', u'management', u'towards', u'other', u'guests', u'as', u'well']",0,"[u'We', u'recently', u'witnessed', u'poor', u'quality', u'management', u'towards', u'guests', u'well']","[u'We', u'recently', u'witnessed', u'poor', u'quality', u'management', u'towards', u'guests', u'well']","[u'We', u'recent', u'wit', u'poor', u'qualiti', u'manag', u'toward', u'guest', u'well']"
571,"[u'Waited', u'and', u'waited', u'and', u'waited']",0,"[u'Waited', u'waited', u'waited']","[u'Waited', u'waited', u'waited']","[u'wait', u'wait', u'wait']"
572,"[u'He', u'also', u'came', u'back', u'to', u'check', u'on', u'us', u'regularly', u'excellent', u'service']",1,"[u'He', u'also', u'came', u'back', u'check', u'us', u'regularly', u'excellent', u'service']","[u'He', u'also', u'came', u'back', u'check', u'us', u'regularly', u'excellent', u'service']","[u'He', u'also', u'came', u'back', u'check', u'us', u'regularli', u'excel', u'servic']"
573,"[u'Our', u'server', u'was', u'super', u'nice', u'and', u'checked', u'on', u'us', u'many', u'times']",1,"[u'Our', u'server', u'super', u'nice', u'checked', u'us', u'many', u'times']","[u'Our', u'server', u'super', u'nice', u'checked', u'us', u'many', u'times']","[u'our', u'server', u'super', u'nice', u'check', u'us', u'mani', u'time']"
574,"[u'The', u'pizza', u'tasted', u'old', u'super', u'chewy', u'in', u'not', u'a', u'good', u'way']",0,"[u'The', u'pizza', u'tasted', u'old', u'super', u'chewy', u'good', u'way']","[u'The', u'pizza', u'tasted', u'old', u'super', u'chewy', u'good', u'way']","[u'the', u'pizza', u'tast', u'old', u'super', u'chewi', u'good', u'way']"
575,"[u'I', u'swung', u'in', u'to', u'give', u'them', u'a', u'try', u'but', u'was', u'deeply', u'disappointed']",0,"[u'I', u'swung', u'give', u'try', u'deeply', u'disappointed']","[u'I', u'swung', u'give', u'try', u'deeply', u'disappointed']","[u'I', u'swung', u'give', u'tri', u'deepli', u'disappoint']"
576,"[u'Service', u'was', u'good', u'and', u'the', u'company', u'was', u'better']",1,"[u'Service', u'good', u'company', u'better']","[u'Service', u'good', u'company', u'better']","[u'servic', u'good', u'compani', u'better']"
577,"[u'The', u'staff', u'are', u'also', u'very', u'friendly', u'and', u'efficient']",1,"[u'The', u'staff', u'also', u'friendly', u'efficient']","[u'The', u'staff', u'also', u'friendly', u'efficient']","[u'the', u'staff', u'also', u'friendli', u'effici']"
578,"[u'As', u'for', u'the', u'service', u'I', u'm', u'a', u'fan', u'because', u'it', u's', u'quick', u'and', u'you', u're', u'being', u'served', u'by', u'some', u'nice', u'folks']",1,"[u'As', u'service', u'I', u'fan', u'quick', u'served', u'nice', u'folks']","[u'As', u'service', u'I', u'fan', u'quick', u'served', u'nice', u'folks']","[u'As', u'servic', u'I', u'fan', u'quick', u'serv', u'nice', u'folk']"
579,"[u'Boy', u'was', u'that', u'sucker', u'dry']",0,"[u'Boy', u'sucker', u'dry']","[u'Boy', u'sucker', u'dry']","[u'boy', u'sucker', u'dri']"
580,"[u'Over', u'rated']",0,"[u'Over', u'rated']","[u'Over', u'rated']","[u'over', u'rate']"
581,"[u'If', u'you', u'look', u'for', u'authentic', u'Thai', u'food', u'go', u'else', u'where']",0,"[u'If', u'look', u'authentic', u'Thai', u'food', u'go', u'else']","[u'If', u'look', u'authentic', u'Thai', u'food', u'go', u'else']","[u'If', u'look', u'authent', u'thai', u'food', u'go', u'els']"
582,"[u'Their', u'steaks', u'are', u'100', u'recommended']",1,"[u'Their', u'steaks', u'100', u'recommended']","[u'Their', u'steaks', u'100', u'recommended']","[u'their', u'steak', u'100', u'recommend']"
583,"[u'After', u'I', u'pulled', u'up', u'my', u'car', u'I', u'waited', u'for', u'another', u'15', u'minutes', u'before', u'being', u'acknowledged']",0,"[u'After', u'I', u'pulled', u'car', u'I', u'waited', u'another', u'15', u'minutes', u'acknowledged']","[u'After', u'I', u'pulled', u'car', u'I', u'waited', u'another', u'15', u'minutes', u'acknowledged']","[u'after', u'I', u'pull', u'car', u'I', u'wait', u'anoth', u'15', u'minut', u'acknowledg']"
584,"[u'Great', u'food', u'and', u'great', u'service', u'in', u'a', u'clean', u'and', u'friendly', u'setting']",1,"[u'Great', u'food', u'great', u'service', u'clean', u'friendly', u'setting']","[u'Great', u'food', u'great', u'service', u'clean', u'friendly', u'setting']","[u'great', u'food', u'great', u'servic', u'clean', u'friendli', u'set']"
585,"[u'All', u'in', u'all', u'I', u'can', u'assure', u'you', u'I', u'll', u'be', u'back']",1,"[u'All', u'I', u'assure', u'I', u'back']","[u'All', u'I', u'assure', u'I', u'back']","[u'all', u'I', u'assur', u'I', u'back']"
586,"[u'I', u'hate', u'those', u'things', u'as', u'much', u'as', u'cheap', u'quality', u'black', u'olives']",0,"[u'I', u'hate', u'things', u'much', u'cheap', u'quality', u'black', u'olives']","[u'I', u'hate', u'things', u'much', u'cheap', u'quality', u'black', u'olives']","[u'I', u'hate', u'thing', u'much', u'cheap', u'qualiti', u'black', u'oliv']"
587,"[u'My', u'breakfast', u'was', u'perpared', u'great', u'with', u'a', u'beautiful', u'presentation', u'of', u'3', u'giant', u'slices', u'of', u'Toast', u'lightly', u'dusted', u'with', u'powdered', u'sugar']",1,"[u'My', u'breakfast', u'perpared', u'great', u'beautiful', u'presentation', u'3', u'giant', u'slices', u'Toast', u'lightly', u'dusted', u'powdered', u'sugar']","[u'My', u'breakfast', u'perpared', u'great', u'beautiful', u'presentation', u'3', u'giant', u'slices', u'Toast', u'lightly', u'dusted', u'powdered', u'sugar']","[u'My', u'breakfast', u'perpar', u'great', u'beauti', u'present', u'3', u'giant', u'slice', u'toast', u'lightli', u'dust', u'powder', u'sugar']"
588,"[u'The', u'kids', u'play', u'area', u'is', u'NASTY']",0,"[u'The', u'kids', u'play', u'area', u'NASTY']","[u'The', u'kids', u'play', u'area', u'NASTY']","[u'the', u'kid', u'play', u'area', u'nasti']"
589,"[u'Great', u'place', u'fo', u'take', u'out', u'or', u'eat', u'in']",1,"[u'Great', u'place', u'fo', u'take', u'eat']","[u'Great', u'place', u'fo', u'take', u'eat']","[u'great', u'place', u'fo', u'take', u'eat']"
590,"[u'The', u'waitress', u'was', u'friendly', u'and', u'happy', u'to', u'accomodate', u'for', u'vegan', u'veggie', u'options']",1,"[u'The', u'waitress', u'friendly', u'happy', u'accomodate', u'vegan', u'veggie', u'options']","[u'The', u'waitress', u'friendly', u'happy', u'accomodate', u'vegan', u'veggie', u'options']","[u'the', u'waitress', u'friendli', u'happi', u'accomod', u'vegan', u'veggi', u'option']"
591,"[u'OMG', u'I', u'felt', u'like', u'I', u'had', u'never', u'eaten', u'Thai', u'food', u'until', u'this', u'dish']",1,"[u'OMG', u'I', u'felt', u'like', u'I', u'never', u'eaten', u'Thai', u'food', u'dish']","[u'OMG', u'I', u'felt', u'like', u'I', u'never', u'eaten', u'Thai', u'food', u'dish']","[u'omg', u'I', u'felt', u'like', u'I', u'never', u'eaten', u'thai', u'food', u'dish']"
592,"[u'It', u'was', u'extremely', u'crumby', u'and', u'pretty', u'tasteless']",0,"[u'It', u'extremely', u'crumby', u'pretty', u'tasteless']","[u'It', u'extremely', u'crumby', u'pretty', u'tasteless']","[u'It', u'extrem', u'crumbi', u'pretti', u'tasteless']"
593,"[u'It', u'was', u'a', u'pale', u'color', u'instead', u'of', u'nice', u'and', u'char', u'and', u'has', u'NO', u'flavor']",0,"[u'It', u'pale', u'color', u'instead', u'nice', u'char', u'NO', u'flavor']","[u'It', u'pale', u'color', u'instead', u'nice', u'char', u'NO', u'flavor']","[u'It', u'pale', u'color', u'instead', u'nice', u'char', u'NO', u'flavor']"
594,"[u'The', u'croutons', u'also', u'taste', u'homemade', u'which', u'is', u'an', u'extra', u'plus']",1,"[u'The', u'croutons', u'also', u'taste', u'homemade', u'extra', u'plus']","[u'The', u'croutons', u'also', u'taste', u'homemade', u'extra', u'plus']","[u'the', u'crouton', u'also', u'tast', u'homemad', u'extra', u'plu']"
595,"[u'I', u'got', u'home', u'to', u'see', u'the', u'driest', u'damn', u'wings', u'ever']",0,"[u'I', u'got', u'home', u'see', u'driest', u'damn', u'wings', u'ever']","[u'I', u'got', u'home', u'see', u'driest', u'damn', u'wings', u'ever']","[u'I', u'got', u'home', u'see', u'driest', u'damn', u'wing', u'ever']"
596,"[u'It', u'll', u'be', u'a', u'regular', u'stop', u'on', u'my', u'trips', u'to', u'Phoenix']",1,"[u'It', u'regular', u'stop', u'trips', u'Phoenix']","[u'It', u'regular', u'stop', u'trips', u'Phoenix']","[u'It', u'regular', u'stop', u'trip', u'phoenix']"
597,"[u'I', u'really', u'enjoyed', u'Crema', u'Caf', u'before', u'they', u'expanded', u'I', u'even', u'told', u'friends', u'they', u'had', u'the', u'BEST', u'breakfast']",1,"[u'I', u'really', u'enjoyed', u'Crema', u'Caf', u'expanded', u'I', u'even', u'told', u'friends', u'BEST', u'breakfast']","[u'I', u'really', u'enjoyed', u'Crema', u'Caf', u'expanded', u'I', u'even', u'told', u'friends', u'BEST', u'breakfast']","[u'I', u'realli', u'enjoy', u'crema', u'caf', u'expand', u'I', u'even', u'told', u'friend', u'best', u'breakfast']"
598,"[u'Not', u'good', u'for', u'the', u'money']",0,"[u'Not', u'good', u'money']","[u'Not', u'good', u'money']","[u'not', u'good', u'money']"
599,"[u'I', u'miss', u'it', u'and', u'wish', u'they', u'had', u'one', u'in', u'Philadelphia']",1,"[u'I', u'miss', u'wish', u'one', u'Philadelphia']","[u'I', u'miss', u'wish', u'one', u'Philadelphia']","[u'I', u'miss', u'wish', u'one', u'philadelphia']"
600,"[u'We', u'got', u'sitting', u'fairly', u'fast', u'but', u'ended', u'up', u'waiting', u'40', u'minutes', u'just', u'to', u'place', u'our', u'order', u'another', u'30', u'minutes', u'before', u'the', u'food', u'arrived']",0,"[u'We', u'got', u'sitting', u'fairly', u'fast', u'ended', u'waiting', u'40', u'minutes', u'place', u'order', u'another', u'30', u'minutes', u'food', u'arrived']","[u'We', u'got', u'sitting', u'fairly', u'fast', u'ended', u'waiting', u'40', u'minutes', u'place', u'order', u'another', u'30', u'minutes', u'food', u'arrived']","[u'We', u'got', u'sit', u'fairli', u'fast', u'end', u'wait', u'40', u'minut', u'place', u'order', u'anoth', u'30', u'minut', u'food', u'arriv']"
601,"[u'They', u'also', u'have', u'the', u'best', u'cheese', u'crisp', u'in', u'town']",1,"[u'They', u'also', u'best', u'cheese', u'crisp', u'town']","[u'They', u'also', u'best', u'cheese', u'crisp', u'town']","[u'they', u'also', u'best', u'chees', u'crisp', u'town']"
602,"[u'Good', u'value', u'great', u'food', u'great', u'service']",1,"[u'Good', u'value', u'great', u'food', u'great', u'service']","[u'Good', u'value', u'great', u'food', u'great', u'service']","[u'good', u'valu', u'great', u'food', u'great', u'servic']"
603,"[u'Couldn', u't', u'ask', u'for', u'a', u'more', u'satisfying', u'meal']",1,"[u'Couldn', u'ask', u'satisfying', u'meal']","[u'Couldn', u'ask', u'satisfying', u'meal']","[u'couldn', u'ask', u'satisfi', u'meal']"
604,"[u'The', u'food', u'is', u'good']",1,"[u'The', u'food', u'good']","[u'The', u'food', u'good']","[u'the', u'food', u'good']"
605,"[u'It', u'was', u'awesome']",1,"[u'It', u'awesome']","[u'It', u'awesome']","[u'It', u'awesom']"
606,"[u'I', u'just', u'wanted', u'to', u'leave']",0,"[u'I', u'wanted', u'leave']","[u'I', u'wanted', u'leave']","[u'I', u'want', u'leav']"
607,"[u'We', u'made', u'the', u'drive', u'all', u'the', u'way', u'from', u'North', u'Scottsdale', u'and', u'I', u'was', u'not', u'one', u'bit', u'disappointed']",1,"[u'We', u'made', u'drive', u'way', u'North', u'Scottsdale', u'I', u'one', u'bit', u'disappointed']","[u'We', u'made', u'drive', u'way', u'North', u'Scottsdale', u'I', u'one', u'bit', u'disappointed']","[u'We', u'made', u'drive', u'way', u'north', u'scottsdal', u'I', u'one', u'bit', u'disappoint']"
608,"[u'I', u'will', u'not', u'be', u'eating', u'there', u'again']",0,"[u'I', u'eating']","[u'I', u'eating']","[u'I', u'eat']"
609,"[u'THE', u'OWNERS', u'REALLY', u'REALLY', u'need', u'to', u'quit', u'being', u'soooooo', u'cheap', u'let', u'them', u'wrap', u'my', u'freaking', u'sandwich', u'in', u'two', u'papers', u'not', u'one']",0,"[u'THE', u'OWNERS', u'REALLY', u'REALLY', u'need', u'quit', u'soooooo', u'cheap', u'let', u'wrap', u'freaking', u'sandwich', u'two', u'papers', u'one']","[u'THE', u'OWNERS', u'REALLY', u'REALLY', u'need', u'quit', u'soooooo', u'cheap', u'let', u'wrap', u'freaking', u'sandwich', u'two', u'papers', u'one']","[u'the', u'owner', u'realli', u'realli', u'need', u'quit', u'soooooo', u'cheap', u'let', u'wrap', u'freak', u'sandwich', u'two', u'paper', u'one']"
610,"[u'I', u'checked', u'out', u'this', u'place', u'a', u'couple', u'years', u'ago', u'and', u'was', u'not', u'impressed']",0,"[u'I', u'checked', u'place', u'couple', u'years', u'ago', u'impressed']","[u'I', u'checked', u'place', u'couple', u'years', u'ago', u'impressed']","[u'I', u'check', u'place', u'coupl', u'year', u'ago', u'impress']"
611,"[u'The', u'chicken', u'I', u'got', u'was', u'definitely', u'reheated', u'and', u'was', u'only', u'ok', u'the', u'wedges', u'were', u'cold', u'and', u'soggy']",0,"[u'The', u'chicken', u'I', u'got', u'definitely', u'reheated', u'ok', u'wedges', u'cold', u'soggy']","[u'The', u'chicken', u'I', u'got', u'definitely', u'reheated', u'ok', u'wedges', u'cold', u'soggy']","[u'the', u'chicken', u'I', u'got', u'definit', u'reheat', u'ok', u'wedg', u'cold', u'soggi']"
612,"[u'Sorry', u'I', u'will', u'not', u'be', u'getting', u'food', u'from', u'here', u'anytime', u'soon']",0,"[u'Sorry', u'I', u'getting', u'food', u'anytime', u'soon']","[u'Sorry', u'I', u'getting', u'food', u'anytime', u'soon']","[u'sorri', u'I', u'get', u'food', u'anytim', u'soon']"
