,tokens,Sentiment,No Stops
288,"[u'I', u'hate', u'to', u'disagree', u'with', u'my', u'fellow', u'Yelpers', u'but', u'my', u'husband', u'and', u'I', u'were', u'so', u'disappointed', u'with', u'this', u'place']",0,"[u'I', u'hate', u'disagree', u'fellow', u'Yelpers', u'husband', u'I', u'disappointed', u'place']"
289,"[u'Waited', u'2', u'hours', u'never', u'got', u'either', u'of', u'our', u'pizzas', u'as', u'many', u'other', u'around', u'us', u'who', u'came', u'in', u'later', u'did']",0,"[u'Waited', u'2', u'hours', u'never', u'got', u'either', u'pizzas', u'many', u'around', u'us', u'came', u'later']"
290,"[u'Just', u'don', u't', u'know', u'why', u'they', u'were', u'so', u'slow']",0,"[u'Just', u'know', u'slow']"
291,"[u'The', u'staff', u'is', u'great', u'the', u'food', u'is', u'delish', u'and', u'they', u'have', u'an', u'incredible', u'beer', u'selection']",1,"[u'The', u'staff', u'great', u'food', u'delish', u'incredible', u'beer', u'selection']"
292,"[u'I', u'live', u'in', u'the', u'neighborhood', u'so', u'I', u'am', u'disappointed', u'I', u'won', u't', u'be', u'back', u'here', u'because', u'it', u'is', u'a', u'convenient', u'location']",0,"[u'I', u'live', u'neighborhood', u'I', u'disappointed', u'I', u'back', u'convenient', u'location']"
293,"[u'I', u'didn', u't', u'know', u'pulled', u'pork', u'could', u'be', u'soooo', u'delicious']",1,"[u'I', u'know', u'pulled', u'pork', u'could', u'soooo', u'delicious']"
294,"[u'You', u'get', u'incredibly', u'fresh', u'fish', u'prepared', u'with', u'care']",1,"[u'You', u'get', u'incredibly', u'fresh', u'fish', u'prepared', u'care']"
295,"[u'Before', u'I', u'go', u'in', u'to', u'why', u'I', u'gave', u'a', u'1', u'star', u'rating', u'please', u'know', u'that', u'this', u'was', u'my', u'third', u'time', u'eating', u'at', u'Bachi', u'burger', u'before', u'writing', u'a', u'review']",0,"[u'Before', u'I', u'go', u'I', u'gave', u'1', u'star', u'rating', u'please', u'know', u'third', u'time', u'eating', u'Bachi', u'burger', u'writing', u'review']"
296,"[u'I', u'love', u'the', u'fact', u'that', u'everything', u'on', u'their', u'menu', u'is', u'worth', u'it']",1,"[u'I', u'love', u'fact', u'everything', u'menu', u'worth']"
297,"[u'Never', u'again', u'will', u'I', u'be', u'dining', u'at', u'this', u'place']",0,"[u'Never', u'I', u'dining', u'place']"
298,"[u'The', u'food', u'was', u'excellent', u'and', u'service', u'was', u'very', u'good']",1,"[u'The', u'food', u'excellent', u'service', u'good']"
299,"[u'Good', u'beer', u'drink', u'selection', u'and', u'good', u'food', u'selection']",1,"[u'Good', u'beer', u'drink', u'selection', u'good', u'food', u'selection']"
300,"[u'Please', u'stay', u'away', u'from', u'the', u'shrimp', u'stir', u'fried', u'noodles']",0,"[u'Please', u'stay', u'away', u'shrimp', u'stir', u'fried', u'noodles']"
301,"[u'The', u'potato', u'chip', u'order', u'was', u'sad', u'I', u'could', u'probably', u'count', u'how', u'many', u'chips', u'were', u'in', u'that', u'box', u'and', u'it', u'was', u'probably', u'around', u'12']",0,"[u'The', u'potato', u'chip', u'order', u'sad', u'I', u'could', u'probably', u'count', u'many', u'chips', u'box', u'probably', u'around', u'12']"
302,"[u'Food', u'was', u'really', u'boring']",0,"[u'Food', u'really', u'boring']"
303,"[u'Good', u'Service', u'check']",1,"[u'Good', u'Service', u'check']"
304,"[u'This', u'greedy', u'corporation', u'will', u'NEVER', u'see', u'another', u'dime', u'from', u'me']",0,"[u'This', u'greedy', u'corporation', u'NEVER', u'see', u'another', u'dime']"
305,"[u'Will', u'never', u'ever', u'go', u'back']",0,"[u'Will', u'never', u'ever', u'go', u'back']"
306,"[u'As', u'much', u'as', u'I', u'd', u'like', u'to', u'go', u'back', u'I', u'can', u't', u'get', u'passed', u'the', u'atrocious', u'service', u'and', u'will', u'never', u'return']",0,"[u'As', u'much', u'I', u'like', u'go', u'back', u'I', u'get', u'passed', u'atrocious', u'service', u'never', u'return']"
307,"[u'In', u'the', u'summer', u'you', u'can', u'dine', u'in', u'a', u'charming', u'outdoor', u'patio', u'so', u'very', u'delightful']",1,"[u'In', u'summer', u'dine', u'charming', u'outdoor', u'patio', u'delightful']"
308,"[u'I', u'did', u'not', u'expect', u'this', u'to', u'be', u'so', u'good']",1,"[u'I', u'expect', u'good']"
309,"[u'Fantastic', u'food']",1,"[u'Fantastic', u'food']"
310,"[u'She', u'ordered', u'a', u'toasted', u'English', u'muffin', u'that', u'came', u'out', u'untoasted']",0,"[u'She', u'ordered', u'toasted', u'English', u'muffin', u'came', u'untoasted']"
311,"[u'The', u'food', u'was', u'very', u'good']",1,"[u'The', u'food', u'good']"
312,"[u'Never', u'going', u'back']",0,"[u'Never', u'going', u'back']"
313,"[u'Great', u'food', u'for', u'the', u'price', u'which', u'is', u'very', u'high', u'quality', u'and', u'house', u'made']",1,"[u'Great', u'food', u'price', u'high', u'quality', u'house', u'made']"
314,"[u'The', u'bus', u'boy', u'on', u'the', u'other', u'hand', u'was', u'so', u'rude']",0,"[u'The', u'bus', u'boy', u'hand', u'rude']"
315,"[u'By', u'this', u'point', u'my', u'friends', u'and', u'I', u'had', u'basically', u'figured', u'out', u'this', u'place', u'was', u'a', u'joke', u'and', u'didn', u't', u'mind', u'making', u'it', u'publicly', u'and', u'loudly', u'known']",0,"[u'By', u'point', u'friends', u'I', u'basically', u'figured', u'place', u'joke', u'mind', u'making', u'publicly', u'loudly', u'known']"
316,"[u'Back', u'to', u'good', u'BBQ', u'lighter', u'fare', u'reasonable', u'pricing', u'and', u'tell', u'the', u'public', u'they', u'are', u'back', u'to', u'the', u'old', u'ways']",1,"[u'Back', u'good', u'BBQ', u'lighter', u'fare', u'reasonable', u'pricing', u'tell', u'public', u'back', u'old', u'ways']"
317,"[u'And', u'considering', u'the', u'two', u'of', u'us', u'left', u'there', u'very', u'full', u'and', u'happy', u'for', u'about', u'20', u'you', u'just', u'can', u't', u'go', u'wrong']",1,"[u'And', u'considering', u'two', u'us', u'left', u'full', u'happy', u'20', u'go', u'wrong']"
318,"[u'All', u'the', u'bread', u'is', u'made', u'in', u'house']",1,"[u'All', u'bread', u'made', u'house']"
319,"[u'The', u'only', u'downside', u'is', u'the', u'service']",0,"[u'The', u'downside', u'service']"
320,"[u'Also', u'the', u'fries', u'are', u'without', u'a', u'doubt', u'the', u'worst', u'fries', u'I', u've', u'ever', u'had']",0,"[u'Also', u'fries', u'without', u'doubt', u'worst', u'fries', u'I', u'ever']"
321,"[u'Service', u'was', u'exceptional', u'and', u'food', u'was', u'a', u'good', u'as', u'all', u'the', u'reviews']",1,"[u'Service', u'exceptional', u'food', u'good', u'reviews']"
322,"[u'A', u'couple', u'of', u'months', u'later', u'I', u'returned', u'and', u'had', u'an', u'amazing', u'meal']",1,"[u'A', u'couple', u'months', u'later', u'I', u'returned', u'amazing', u'meal']"
323,"[u'Favorite', u'place', u'in', u'town', u'for', u'shawarrrrrrma']",1,"[u'Favorite', u'place', u'town', u'shawarrrrrrma']"
324,"[u'The', u'black', u'eyed', u'peas', u'and', u'sweet', u'potatoes', u'UNREAL']",1,"[u'The', u'black', u'eyed', u'peas', u'sweet', u'potatoes', u'UNREAL']"
325,"[u'You', u'won', u't', u'be', u'disappointed']",1,"[u'You', u'disappointed']"
326,"[u'They', u'could', u'serve', u'it', u'with', u'just', u'the', u'vinaigrette', u'and', u'it', u'may', u'make', u'for', u'a', u'better', u'overall', u'dish', u'but', u'it', u'was', u'still', u'very', u'good']",1,"[u'They', u'could', u'serve', u'vinaigrette', u'may', u'make', u'better', u'overall', u'dish', u'still', u'good']"
327,"[u'I', u'go', u'to', u'far', u'too', u'many', u'places', u'and', u'I', u've', u'never', u'seen', u'any', u'restaurant', u'that', u'serves', u'a', u'1', u'egg', u'breakfast', u'especially', u'for', u'4', u'00']",0,"[u'I', u'go', u'far', u'many', u'places', u'I', u'never', u'seen', u'restaurant', u'serves', u'1', u'egg', u'breakfast', u'especially', u'4', u'00']"
328,"[u'When', u'my', u'mom', u'and', u'I', u'got', u'home', u'she', u'immediately', u'got', u'sick', u'and', u'she', u'only', u'had', u'a', u'few', u'bites', u'of', u'salad']",0,"[u'When', u'mom', u'I', u'got', u'home', u'immediately', u'got', u'sick', u'bites', u'salad']"
329,"[u'The', u'servers', u'are', u'not', u'pleasant', u'to', u'deal', u'with', u'and', u'they', u'don', u't', u'always', u'honor', u'Pizza', u'Hut', u'coupons']",0,"[u'The', u'servers', u'pleasant', u'deal', u'always', u'honor', u'Pizza', u'Hut', u'coupons']"
330,"[u'Both', u'of', u'them', u'were', u'truly', u'unbelievably', u'good', u'and', u'I', u'am', u'so', u'glad', u'we', u'went', u'back']",1,"[u'Both', u'truly', u'unbelievably', u'good', u'I', u'glad', u'went', u'back']"
331,"[u'We', u'had', u'fantastic', u'service', u'and', u'were', u'pleased', u'by', u'the', u'atmosphere']",1,"[u'We', u'fantastic', u'service', u'pleased', u'atmosphere']"
332,"[u'Everything', u'was', u'gross']",0,"[u'Everything', u'gross']"
333,"[u'I', u'love', u'this', u'place']",1,"[u'I', u'love', u'place']"
334,"[u'Great', u'service', u'and', u'food']",1,"[u'Great', u'service', u'food']"
335,"[u'First', u'the', u'bathrooms', u'at', u'this', u'location', u'were', u'dirty', u'Seat', u'covers', u'were', u'not', u'replenished', u'just', u'plain', u'yucky']",0,"[u'First', u'bathrooms', u'location', u'dirty', u'Seat', u'covers', u'replenished', u'plain', u'yucky']"
336,"[u'The', u'burger', u'I', u'got', u'the', u'Gold', u'Standard', u'a', u'17', u'burger', u'and', u'was', u'kind', u'of', u'disappointed']",0,"[u'The', u'burger', u'I', u'got', u'Gold', u'Standard', u'17', u'burger', u'kind', u'disappointed']"
337,"[u'OMG', u'the', u'food', u'was', u'delicioso']",1,"[u'OMG', u'food', u'delicioso']"
338,"[u'There', u'is', u'nothing', u'authentic', u'about', u'this', u'place']",0,"[u'There', u'nothing', u'authentic', u'place']"
339,"[u'the', u'spaghetti', u'is', u'nothing', u'special', u'whatsoever']",0,"[u'spaghetti', u'nothing', u'special', u'whatsoever']"
340,"[u'Of', u'all', u'the', u'dishes', u'the', u'salmon', u'was', u'the', u'best', u'but', u'all', u'were', u'great']",1,"[u'Of', u'dishes', u'salmon', u'best', u'great']"
341,"[u'The', u'vegetables', u'are', u'so', u'fresh', u'and', u'the', u'sauce', u'feels', u'like', u'authentic', u'Thai']",1,"[u'The', u'vegetables', u'fresh', u'sauce', u'feels', u'like', u'authentic', u'Thai']"
342,"[u'It', u's', u'worth', u'driving', u'up', u'from', u'Tucson']",1,"[u'It', u'worth', u'driving', u'Tucson']"
343,"[u'The', u'selection', u'was', u'probably', u'the', u'worst', u'I', u've', u'seen', u'in', u'Vegas', u'there', u'was', u'none']",0,"[u'The', u'selection', u'probably', u'worst', u'I', u'seen', u'Vegas', u'none']"
344,"[u'Pretty', u'good', u'beer', u'selection', u'too']",1,"[u'Pretty', u'good', u'beer', u'selection']"
345,"[u'This', u'place', u'is', u'like', u'Chipotle', u'but', u'BETTER']",1,"[u'This', u'place', u'like', u'Chipotle', u'BETTER']"
346,"[u'Classy', u'warm', u'atmosphere', u'fun', u'and', u'fresh', u'appetizers', u'succulent', u'steaks', u'Baseball', u'steak']",1,"[u'Classy', u'warm', u'atmosphere', u'fun', u'fresh', u'appetizers', u'succulent', u'steaks', u'Baseball', u'steak']"
347,"[u'5', u'stars', u'for', u'the', u'brick', u'oven', u'bread', u'app']",1,"[u'5', u'stars', u'brick', u'oven', u'bread', u'app']"
348,"[u'I', u'have', u'eaten', u'here', u'multiple', u'times', u'and', u'each', u'time', u'the', u'food', u'was', u'delicious']",1,"[u'I', u'eaten', u'multiple', u'times', u'time', u'food', u'delicious']"
349,"[u'We', u'sat', u'another', u'ten', u'minutes', u'and', u'finally', u'gave', u'up', u'and', u'left']",0,"[u'We', u'sat', u'another', u'ten', u'minutes', u'finally', u'gave', u'left']"
350,"[u'He', u'was', u'terrible']",0,"[u'He', u'terrible']"
351,"[u'Everyone', u'is', u'treated', u'equally', u'special']",1,"[u'Everyone', u'treated', u'equally', u'special']"
352,"[u'It', u'shouldn', u't', u'take', u'30', u'min', u'for', u'pancakes', u'and', u'eggs']",0,"[u'It', u'take', u'30', u'min', u'pancakes', u'eggs']"
353,"[u'It', u'was', u'delicious']",1,"[u'It', u'delicious']"
354,"[u'On', u'the', u'good', u'side', u'the', u'staff', u'was', u'genuinely', u'pleasant', u'and', u'enthusiastic', u'a', u'real', u'treat']",1,"[u'On', u'good', u'side', u'staff', u'genuinely', u'pleasant', u'enthusiastic', u'real', u'treat']"
355,"[u'Sadly', u'Gordon', u'Ramsey', u's', u'Steak', u'is', u'a', u'place', u'we', u'shall', u'sharply', u'avoid', u'during', u'our', u'next', u'trip', u'to', u'Vegas']",0,"[u'Sadly', u'Gordon', u'Ramsey', u'Steak', u'place', u'shall', u'sharply', u'avoid', u'next', u'trip', u'Vegas']"
356,"[u'As', u'always', u'the', u'evening', u'was', u'wonderful', u'and', u'the', u'food', u'delicious']",1,"[u'As', u'always', u'evening', u'wonderful', u'food', u'delicious']"
357,"[u'Best', u'fish', u'I', u've', u'ever', u'had', u'in', u'my', u'life']",1,"[u'Best', u'fish', u'I', u'ever', u'life']"
358,"[u'The', u'bathroom', u'is', u'just', u'next', u'door', u'and', u'very', u'nice']",1,"[u'The', u'bathroom', u'next', u'door', u'nice']"
359,"[u'The', u'buffet', u'is', u'small', u'and', u'all', u'the', u'food', u'they', u'offered', u'was', u'BLAND']",0,"[u'The', u'buffet', u'small', u'food', u'offered', u'BLAND']"
360,"[u'This', u'is', u'an', u'Outstanding', u'little', u'restaurant', u'with', u'some', u'of', u'the', u'Best', u'Food', u'I', u'have', u'ever', u'tasted']",1,"[u'This', u'Outstanding', u'little', u'restaurant', u'Best', u'Food', u'I', u'ever', u'tasted']"
361,"[u'Pretty', u'cool', u'I', u'would', u'say']",1,"[u'Pretty', u'cool', u'I', u'would', u'say']"
362,"[u'Definitely', u'a', u'turn', u'off', u'for', u'me', u'i', u'doubt', u'I', u'll', u'be', u'back', u'unless', u'someone', u'else', u'is', u'buying']",0,"[u'Definitely', u'turn', u'doubt', u'I', u'back', u'unless', u'someone', u'else', u'buying']"
363,"[u'Server', u'did', u'a', u'great', u'job', u'handling', u'our', u'large', u'rowdy', u'table']",1,"[u'Server', u'great', u'job', u'handling', u'large', u'rowdy', u'table']"
364,"[u'I', u'find', u'wasting', u'food', u'to', u'be', u'despicable', u'but', u'this', u'just', u'wasn', u't', u'food']",0,"[u'I', u'find', u'wasting', u'food', u'despicable', u'food']"
365,"[u'My', u'wife', u'had', u'the', u'Lobster', u'Bisque', u'soup', u'which', u'was', u'lukewarm']",0,"[u'My', u'wife', u'Lobster', u'Bisque', u'soup', u'lukewarm']"
366,"[u'Would', u'come', u'back', u'again', u'if', u'I', u'had', u'a', u'sushi', u'craving', u'while', u'in', u'Vegas']",1,"[u'Would', u'come', u'back', u'I', u'sushi', u'craving', u'Vegas']"
367,"[u'The', u'staff', u'are', u'great', u'the', u'ambiance', u'is', u'great']",1,"[u'The', u'staff', u'great', u'ambiance', u'great']"
368,"[u'He', u'deserves', u'5', u'stars']",1,"[u'He', u'deserves', u'5', u'stars']"
369,"[u'I', u'left', u'with', u'a', u'stomach', u'ache', u'and', u'felt', u'sick', u'the', u'rest', u'of', u'the', u'day']",0,"[u'I', u'left', u'stomach', u'ache', u'felt', u'sick', u'rest', u'day']"
370,"[u'They', u'dropped', u'more', u'than', u'the', u'ball']",0,"[u'They', u'dropped', u'ball']"
371,"[u'The', u'dining', u'space', u'is', u'tiny', u'but', u'elegantly', u'decorated', u'and', u'comfortable']",1,"[u'The', u'dining', u'space', u'tiny', u'elegantly', u'decorated', u'comfortable']"
372,"[u'They', u'will', u'customize', u'your', u'order', u'any', u'way', u'you', u'd', u'like', u'my', u'usual', u'is', u'Eggplant', u'with', u'Green', u'Bean', u'stir', u'fry', u'love', u'it']",1,"[u'They', u'customize', u'order', u'way', u'like', u'usual', u'Eggplant', u'Green', u'Bean', u'stir', u'fry', u'love']"
373,"[u'And', u'the', u'beans', u'and', u'rice', u'were', u'mediocre', u'at', u'best']",0,"[u'And', u'beans', u'rice', u'mediocre', u'best']"
374,"[u'Best', u'tacos', u'in', u'town', u'by', u'far']",1,"[u'Best', u'tacos', u'town', u'far']"
375,"[u'I', u'took', u'back', u'my', u'money', u'and', u'got', u'outta', u'there']",0,"[u'I', u'took', u'back', u'money', u'got', u'outta']"
376,"[u'In', u'an', u'interesting', u'part', u'of', u'town', u'this', u'place', u'is', u'amazing']",1,"[u'In', u'interesting', u'part', u'town', u'place', u'amazing']"
377,"[u'RUDE', u'INCONSIDERATE', u'MANAGEMENT']",0,"[u'RUDE', u'INCONSIDERATE', u'MANAGEMENT']"
378,"[u'The', u'staff', u'are', u'now', u'not', u'as', u'friendly', u'the', u'wait', u'times', u'for', u'being', u'served', u'are', u'horrible', u'no', u'one', u'even', u'says', u'hi', u'for', u'the', u'first', u'10', u'minutes']",0,"[u'The', u'staff', u'friendly', u'wait', u'times', u'served', u'horrible', u'one', u'even', u'says', u'hi', u'first', u'10', u'minutes']"
379,"[u'I', u'won', u't', u'be', u'back']",0,"[u'I', u'back']"
380,"[u'They', u'have', u'great', u'dinners']",1,"[u'They', u'great', u'dinners']"
381,"[u'The', u'service', u'was', u'outshining', u'I', u'definitely', u'recommend', u'the', u'Halibut']",1,"[u'The', u'service', u'outshining', u'I', u'definitely', u'recommend', u'Halibut']"
382,"[u'The', u'food', u'was', u'terrible']",0,"[u'The', u'food', u'terrible']"
383,"[u'WILL', u'NEVER', u'EVER', u'GO', u'BACK', u'AND', u'HAVE', u'TOLD', u'MANY', u'PEOPLE', u'WHAT', u'HAD', u'HAPPENED']",0,"[u'WILL', u'NEVER', u'EVER', u'GO', u'BACK', u'AND', u'HAVE', u'TOLD', u'MANY', u'PEOPLE', u'WHAT', u'HAD', u'HAPPENED']"
384,"[u'I', u'don', u't', u'recommend', u'unless', u'your', u'car', u'breaks', u'down', u'in', u'front', u'of', u'it', u'and', u'you', u'are', u'starving']",0,"[u'I', u'recommend', u'unless', u'car', u'breaks', u'front', u'starving']"
385,"[u'I', u'will', u'come', u'back', u'here', u'every', u'time', u'I', u'm', u'in', u'Vegas']",1,"[u'I', u'come', u'back', u'every', u'time', u'I', u'Vegas']"
386,"[u'This', u'place', u'deserves', u'one', u'star', u'and', u'90', u'has', u'to', u'do', u'with', u'the', u'food']",0,"[u'This', u'place', u'deserves', u'one', u'star', u'90', u'food']"
387,"[u'This', u'is', u'a', u'disgrace']",0,"[u'This', u'disgrace']"
388,"[u'Def', u'coming', u'back', u'to', u'bowl', u'next', u'time']",1,"[u'Def', u'coming', u'back', u'bowl', u'next', u'time']"
389,"[u'If', u'you', u'want', u'healthy', u'authentic', u'or', u'ethic', u'food', u'try', u'this', u'place']",1,"[u'If', u'want', u'healthy', u'authentic', u'ethic', u'food', u'try', u'place']"
390,"[u'I', u'will', u'continue', u'to', u'come', u'here', u'on', u'ladies', u'night', u'andddd', u'date', u'night', u'highly', u'recommend', u'this', u'place', u'to', u'anyone', u'who', u'is', u'in', u'the', u'area']",1,"[u'I', u'continue', u'come', u'ladies', u'night', u'andddd', u'date', u'night', u'highly', u'recommend', u'place', u'anyone', u'area']"
391,"[u'I', u'have', u'been', u'here', u'several', u'times', u'in', u'the', u'past', u'and', u'the', u'experience', u'has', u'always', u'been', u'great']",1,"[u'I', u'several', u'times', u'past', u'experience', u'always', u'great']"
392,"[u'We', u'walked', u'away', u'stuffed', u'and', u'happy', u'about', u'our', u'first', u'Vegas', u'buffet', u'experience']",1,"[u'We', u'walked', u'away', u'stuffed', u'happy', u'first', u'Vegas', u'buffet', u'experience']"
393,"[u'Service', u'was', u'excellent', u'and', u'prices', u'are', u'pretty', u'reasonable', u'considering', u'this', u'is', u'Vegas', u'and', u'located', u'inside', u'the', u'Crystals', u'shopping', u'mall', u'by', u'Aria']",1,"[u'Service', u'excellent', u'prices', u'pretty', u'reasonable', u'considering', u'Vegas', u'located', u'inside', u'Crystals', u'shopping', u'mall', u'Aria']"
394,"[u'To', u'summarize', u'the', u'food', u'was', u'incredible', u'nay', u'transcendant', u'but', u'nothing', u'brings', u'me', u'joy', u'quite', u'like', u'the', u'memory', u'of', u'the', u'pneumatic', u'condiment', u'dispenser']",1,"[u'To', u'summarize', u'food', u'incredible', u'nay', u'transcendant', u'nothing', u'brings', u'joy', u'quite', u'like', u'memory', u'pneumatic', u'condiment', u'dispenser']"
395,"[u'I', u'm', u'probably', u'one', u'of', u'the', u'few', u'people', u'to', u'ever', u'go', u'to', u'Ians', u'and', u'not', u'like', u'it']",0,"[u'I', u'probably', u'one', u'people', u'ever', u'go', u'Ians', u'like']"
396,"[u'Kids', u'pizza', u'is', u'always', u'a', u'hit', u'too', u'with', u'lots', u'of', u'great', u'side', u'dish', u'options', u'for', u'the', u'kiddos']",1,"[u'Kids', u'pizza', u'always', u'hit', u'lots', u'great', u'side', u'dish', u'options', u'kiddos']"
397,"[u'Service', u'is', u'perfect', u'and', u'the', u'family', u'atmosphere', u'is', u'nice', u'to', u'see']",1,"[u'Service', u'perfect', u'family', u'atmosphere', u'nice', u'see']"
398,"[u'Cooked', u'to', u'perfection', u'and', u'the', u'service', u'was', u'impeccable']",1,"[u'Cooked', u'perfection', u'service', u'impeccable']"
399,"[u'This', u'one', u'is', u'simply', u'a', u'disappointment']",0,"[u'This', u'one', u'simply', u'disappointment']"
400,"[u'Overall', u'I', u'was', u'very', u'disappointed', u'with', u'the', u'quality', u'of', u'food', u'at', u'Bouchon']",0,"[u'Overall', u'I', u'disappointed', u'quality', u'food', u'Bouchon']"
401,"[u'I', u'don', u't', u'have', u'to', u'be', u'an', u'accountant', u'to', u'know', u'I', u'm', u'getting', u'screwed']",0,"[u'I', u'accountant', u'know', u'I', u'getting', u'screwed']"
402,"[u'Great', u'place', u'to', u'eat', u'reminds', u'me', u'of', u'the', u'little', u'mom', u'and', u'pop', u'shops', u'in', u'the', u'San', u'Francisco', u'Bay', u'Area']",1,"[u'Great', u'place', u'eat', u'reminds', u'little', u'mom', u'pop', u'shops', u'San', u'Francisco', u'Bay', u'Area']"
403,"[u'Today', u'was', u'my', u'first', u'taste', u'of', u'a', u'Buldogis', u'Gourmet', u'Hot', u'Dog', u'and', u'I', u'have', u'to', u'tell', u'you', u'it', u'was', u'more', u'than', u'I', u'ever', u'thought', u'possible']",1,"[u'Today', u'first', u'taste', u'Buldogis', u'Gourmet', u'Hot', u'Dog', u'I', u'tell', u'I', u'ever', u'thought', u'possible']"
404,"[u'Left', u'very', u'frustrated']",0,"[u'Left', u'frustrated']"
405,"[u'I', u'll', u'definitely', u'be', u'in', u'soon', u'again']",1,"[u'I', u'definitely', u'soon']"
406,"[u'Food', u'was', u'really', u'good', u'and', u'I', u'got', u'full', u'petty', u'fast']",1,"[u'Food', u'really', u'good', u'I', u'got', u'full', u'petty', u'fast']"
407,"[u'Service', u'was', u'fantastic']",1,"[u'Service', u'fantastic']"
408,"[u'TOTAL', u'WASTE', u'OF', u'TIME']",0,"[u'TOTAL', u'WASTE', u'OF', u'TIME']"
409,"[u'I', u'don', u't', u'know', u'what', u'kind', u'it', u'is', u'but', u'they', u'have', u'the', u'best', u'iced', u'tea']",1,"[u'I', u'know', u'kind', u'best', u'iced', u'tea']"
410,"[u'Come', u'hungry', u'leave', u'happy', u'and', u'stuffed']",1,"[u'Come', u'hungry', u'leave', u'happy', u'stuffed']"
411,"[u'For', u'service', u'I', u'give', u'them', u'no', u'stars']",0,"[u'For', u'service', u'I', u'give', u'stars']"
412,"[u'I', u'can', u'assure', u'you', u'that', u'you', u'won', u't', u'be', u'disappointed']",1,"[u'I', u'assure', u'disappointed']"
413,"[u'I', u'can', u'take', u'a', u'little', u'bad', u'service', u'but', u'the', u'food', u'sucks']",0,"[u'I', u'take', u'little', u'bad', u'service', u'food', u'sucks']"
414,"[u'Gave', u'up', u'trying', u'to', u'eat', u'any', u'of', u'the', u'crust', u'teeth', u'still', u'sore']",0,"[u'Gave', u'trying', u'eat', u'crust', u'teeth', u'still', u'sore']"
415,"[u'But', u'now', u'I', u'was', u'completely', u'grossed', u'out']",0,"[u'But', u'I', u'completely', u'grossed']"
416,"[u'I', u'really', u'enjoyed', u'eating', u'here']",1,"[u'I', u'really', u'enjoyed', u'eating']"
417,"[u'First', u'time', u'going', u'but', u'I', u'think', u'I', u'will', u'quickly', u'become', u'a', u'regular']",1,"[u'First', u'time', u'going', u'I', u'think', u'I', u'quickly', u'become', u'regular']"
418,"[u'Our', u'server', u'was', u'very', u'nice', u'and', u'even', u'though', u'he', u'looked', u'a', u'little', u'overwhelmed', u'with', u'all', u'of', u'our', u'needs', u'he', u'stayed', u'professional', u'and', u'friendly', u'until', u'the', u'end']",1,"[u'Our', u'server', u'nice', u'even', u'though', u'looked', u'little', u'overwhelmed', u'needs', u'stayed', u'professional', u'friendly', u'end']"
419,"[u'From', u'what', u'my', u'dinner', u'companions', u'told', u'me', u'everything', u'was', u'very', u'fresh', u'with', u'nice', u'texture', u'and', u'taste']",1,"[u'From', u'dinner', u'companions', u'told', u'everything', u'fresh', u'nice', u'texture', u'taste']"
420,"[u'On', u'the', u'ground', u'right', u'next', u'to', u'our', u'table', u'was', u'a', u'large', u'smeared', u'been', u'stepped', u'in', u'and', u'tracked', u'everywhere', u'pile', u'of', u'green', u'bird', u'poop']",0,"[u'On', u'ground', u'right', u'next', u'table', u'large', u'smeared', u'stepped', u'tracked', u'everywhere', u'pile', u'green', u'bird', u'poop']"
421,"[u'Furthermore', u'you', u'can', u't', u'even', u'find', u'hours', u'of', u'operation', u'on', u'the', u'website']",0,"[u'Furthermore', u'even', u'find', u'hours', u'operation', u'website']"
422,"[u'We', u've', u'tried', u'to', u'like', u'this', u'place', u'but', u'after', u'10', u'times', u'I', u'think', u'we', u're', u'done', u'with', u'them']",0,"[u'We', u'tried', u'like', u'place', u'10', u'times', u'I', u'think', u'done']"
423,"[u'What', u'a', u'mistake', u'that', u'was']",0,"[u'What', u'mistake']"
424,"[u'No', u'complaints']",1,"[u'No', u'complaints']"
425,"[u'This', u'is', u'some', u'seriously', u'good', u'pizza', u'and', u'I', u'm', u'an', u'expert', u'connisseur', u'on', u'the', u'topic']",1,"[u'This', u'seriously', u'good', u'pizza', u'I', u'expert', u'connisseur', u'topic']"
426,"[u'Waiter', u'was', u'a', u'jerk']",0,"[u'Waiter', u'jerk']"
427,"[u'Strike', u'2', u'who', u'wants', u'to', u'be', u'rushed']",0,"[u'Strike', u'2', u'wants', u'rushed']"
428,"[u'These', u'are', u'the', u'nicest', u'restaurant', u'owners', u'I', u've', u'ever', u'come', u'across']",1,"[u'These', u'nicest', u'restaurant', u'owners', u'I', u'ever', u'come', u'across']"
429,"[u'I', u'never', u'come', u'again']",0,"[u'I', u'never', u'come']"
430,"[u'We', u'loved', u'the', u'biscuits']",1,"[u'We', u'loved', u'biscuits']"
431,"[u'Service', u'is', u'quick', u'and', u'friendly']",1,"[u'Service', u'quick', u'friendly']"
432,"[u'Ordered', u'an', u'appetizer', u'and', u'took', u'40', u'minutes', u'and', u'then', u'the', u'pizza', u'another', u'10', u'minutes']",0,"[u'Ordered', u'appetizer', u'took', u'40', u'minutes', u'pizza', u'another', u'10', u'minutes']"
433,"[u'So', u'absolutley', u'fantastic']",1,"[u'So', u'absolutley', u'fantastic']"
434,"[u'It', u'was', u'a', u'huge', u'awkward', u'1', u'5lb', u'piece', u'of', u'cow', u'that', u'was', u'3', u'4ths', u'gristle', u'and', u'fat']",0,"[u'It', u'huge', u'awkward', u'1', u'5lb', u'piece', u'cow', u'3', u'4ths', u'gristle', u'fat']"
